,Event Date,# Shows,Headliner,Support,Venue,City,State,Country,Market,Currency,Promoter,Genre,Avg. Tickets Sold,Avg. Gross USD,Avg. Event Capacity,Avg. Capacity Sold,Ticket Price Min,Ticket Price Max,Ticket Price Avg. USD,Month,Location,yt name,yt Channel ID,yt Title,yt Description,yt Published At,yt View Count,yt Subscriber Count,yt Video Count,sp artist_name,sp artist_genre,sp followers,sp popularity,name,sales,gaondigital_times,gaondigital_firsts,yawards_total,Total_Population_City,Total_Asian_Population_City,Asian_Percentage_City,County,Total_Population_County,Total_Asian_Population_County,Asian_Percentage_County,day_of_week,is_holiday,Total population_state,Asian alone population_state,Asian percentage_state
18,2022-10-25,2,BLACKPINK,,American Airlines Center,Dallas,Texas,United States,Dallas-Ft. Worth,US DOLLAR,AEG Presents,Asian Pop,"11,717",3006410.5,"11,717",100%,79.50,225.15,256.59,10,Dallas_Texas_United States,BLACKPINK,UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,"BLACKPINK Official YouTube Channel
블랙핑크 공식 유튜브 채널입니다.

JISOO, JENNIE, ROSÉ, LISA
지수, 제니, 로제, 리사",2016-06-29T03:15:23Z,35298765519.0,93500000.0,596.0,BLACKPINK,"['k-pop', 'k-pop girl group', 'pop']",48492443.0,81.0,Blackpink,6073383.0,577.0,8.0,26.0,1300642.0,47544.0,3.655425551381549,Dallas,2613539.0,183124.0,7.006744494725352,1,False,29145505.0,1585480.0,5.439878293410939
20,2022-10-06,1,Enhypen,,Dickies Arena,Fort Worth,Texas,United States,Dallas-Ft. Worth,US DOLLAR,"AEG Presents, HYBE",Asian Pop,"10,043",1392457.0,"11,230",89%,69.00,249.00,138.65,10,Fort Worth_Texas_United States,Enhypen,UCArLZtok93cO5R9RI4_Y5Jw,ENHYPEN,"#ENHYPEN Official Youtube
#ENHYPEN 공식 유튜브",2020-08-10T12:46:00.218737Z,1861216308.0,9600000.0,1225.0,Enhypen,"['anime', 'k-pop boy group']",8400532.0,79.0,Enhypen,9227768.0,1.0,0.0,13.0,924663.0,45247.0,4.893350334121728,Tarrant,2110640.0,129437.0,6.132594852746086,3,False,29145505.0,1585480.0,5.439878293410939
24,2022-08-23,1,SEVENTEEN,,Dickies Arena,Fort Worth,Texas,United States,Dallas-Ft. Worth,US DOLLAR,"HYBE, Live Nation",Asian Pop,"9,282",1117761.0,"10,106",92%,59.50,179.50,120.42,8,Fort Worth_Texas_United States,SEVENTEEN,UCfkXDY7vwkcJ8ddFGz8KusA,SEVENTEEN,"#SEVENTEEN Official Youtube
#세븐틴 공식 유튜브
",2012-11-16T08:20:35Z,5396738590.0,11000000.0,1959.0,SEVENTEEN,"['k-pop', 'k-pop boy group']",11191473.0,79.0,Seventeen,33378003.0,290.0,1.0,48.0,924663.0,45247.0,4.893350334121728,Tarrant,2110640.0,129437.0,6.132594852746086,1,False,29145505.0,1585480.0,5.439878293410939
25,2022-08-20,1,SEVENTEEN,,Toyota Center,Houston,Texas,United States,Houston,US DOLLAR,"HYBE, Live Nation",Asian Pop,"9,124",1136908.0,"9,484",96%,59.50,179.50,124.61,8,Houston_Texas_United States,SEVENTEEN,UCfkXDY7vwkcJ8ddFGz8KusA,SEVENTEEN,"#SEVENTEEN Official Youtube
#세븐틴 공식 유튜브
",2012-11-16T08:20:35Z,5396738590.0,11000000.0,1959.0,SEVENTEEN,"['k-pop', 'k-pop boy group']",11191473.0,79.0,Seventeen,33378003.0,290.0,1.0,48.0,2296253.0,157978.0,6.879816814610586,Harris,4731145.0,349268.0,7.382314429170951,5,False,29145505.0,1585480.0,5.439878293410939
28,2022-06-06,1,Monsta X,,Dickies Arena,Fort Worth,Texas,United States,Dallas-Ft. Worth,US DOLLAR,Live Nation,"Asian Pop, World","10,068",872200.0,"10,461",96%,45.00,175.00,86.63,6,Fort Worth_Texas_United States,Monsta X,UCZvCP6sWj75MwpUP4LVtpNw,MONSTA X,,2017-11-14T09:07:19Z,610146290.0,2570000.0,791.0,Monsta X,"['k-pop', 'k-pop boy group']",5163312.0,61.0,MONSTA X,3905428.0,4.0,0.0,22.0,924663.0,45247.0,4.893350334121728,Tarrant,2110640.0,129437.0,6.132594852746086,0,False,29145505.0,1585480.0,5.439878293410939
30,2019-07-27,1,Monsta X,,Smart Financial Centre At Sugar Land,Sugar Land,Texas,United States,Houston,US DOLLAR,"AEG Presents, Goldenvoice","Asian Pop, World","5,163",617794.0,"5,503",94%,64.00,174.00,119.66,7,Sugar Land_Texas_United States,Monsta X,UCZvCP6sWj75MwpUP4LVtpNw,MONSTA X,,2017-11-14T09:07:19Z,610146290.0,2570000.0,791.0,Monsta X,"['k-pop', 'k-pop boy group']",5163312.0,61.0,MONSTA X,3905428.0,4.0,0.0,22.0,110077.0,42328.0,38.4530828420106,Fort Bend,822779.0,182537.0,22.185422817062666,5,False,29145505.0,1585480.0,5.439878293410939
31,2019-07-03,1,Got7,,American Airlines Center,Dallas,Texas,United States,Dallas-Ft. Worth,US DOLLAR,Live Nation,"Asian Pop, World","5,974",431713.62,"6,644",90%,44.00,194.00,72.27,7,Dallas_Texas_United States,Got7,UC8HEl74jL3bLLwfDP1OALxw,GOT7,GOT7 Official YouTube,2012-02-02T07:43:35Z,934828590.0,6210000.0,579.0,Got7,"['k-pop', 'k-pop boy group']",6543496.0,60.0,GOT7,4396999.0,46.0,0.0,17.0,1300642.0,47544.0,3.655425551381549,Dallas,2613539.0,183124.0,7.006744494725352,2,False,29145505.0,1585480.0,5.439878293410939
33,2018-07-29,1,Monsta X,,Smart Financial Centre At Sugar Land,Sugar Land,Texas,United States,Houston,US DOLLAR,"AEG Presents, Goldenvoice","Asian Pop, World","3,383",375735.0,"3,383",100%,60.00,200.00,111.07,7,Sugar Land_Texas_United States,Monsta X,UCZvCP6sWj75MwpUP4LVtpNw,MONSTA X,,2017-11-14T09:07:19Z,610146290.0,2570000.0,791.0,Monsta X,"['k-pop', 'k-pop boy group']",5163312.0,61.0,MONSTA X,3905428.0,4.0,0.0,22.0,110077.0,42328.0,38.4530828420106,Fort Bend,822779.0,182537.0,22.185422817062666,6,False,29145505.0,1585480.0,5.439878293410939
37,2017-07-19,1,G-Dragon,,Toyota Center,Houston,Texas,United States,Houston,US DOLLAR,Live Nation Global Touring,"Asian Pop, World","5,598",729083.14,"7,796",72%,65.50,219.00,130.24,7,Houston_Texas_United States,G-Dragon,UCeU5qTuBiqTU5z-hyL6WITQ,OfficialGDRAGON,"G-DRAGON Official YouTube Channel
G-DRAGON 공식 유튜브 채널입니다.",2012-07-17T04:18:48Z,264949182.0,2510000.0,3.0,G-Dragon,"['k-pop', 'k-rap']",2846502.0,58.0,G-DRAGON,896306.0,210.0,3.0,16.0,2296253.0,157978.0,6.879816814610586,Harris,4731145.0,349268.0,7.382314429170951,2,False,29145505.0,1585480.0,5.439878293410939
38,2016-02-10,1,EXO,,Verizon Theatre At Grand Prairie,Grand Prairie,Texas,United States,Dallas-Ft. Worth,US DOLLAR,My Music Taste,"Asian Pop, World","5,539",792275.0,"6,693",83%,75.00,195.00,143.04,2,Grand Prairie_Texas_United States,EXO,UCEUX9tUYqTFfPQdAgVNsKTA,EXO - Topic,"EXO, which is derived from ‘EXOPLANET’, a term denoting the planets outside the solar system, is a 9-member K-pop boy band. After making their anticipated debut in April 2012, EXO is now one of the “biggest K-POP boy band in the world”. Forbes noted their immense popularity on its “Korea Power Celebrity List”, which named them one of the Top 5 K-pop groups in 2014, 2017, and 2018. 
 
EXO’s first album XOXO (2013), containing the breakthrough hit “Growl” was a critical and commercial success. The album sold over 1 million copies, making them the first million-selling Korean artist in 12 years. Their subsequent releases also had strong sales, with all full-length albums each selling more than 1 million copies. EXO’s album Don’t Mess Up My Tempo (2018) is their highest charting-album on the US Billboard 200, debuting at number 23. 

Since their first headlining tour in 2014, EXO has performed over 100 concerts across four tours and participated in multiple joint tours, successfully wrapping up their 5th tour across Asia in 2019. In June 2021, EXO achieved their sixth ‘million seller’ status with their special album ‘DON’T FIGHT THE FEELING’, which not only topped various global charts, but marked No. 1 on iTunes music chart in 87 countries around the world, once again proving their title as the legendary K-POP group.",2013-12-19T04:19:26Z,745638823.0,518000.0,748.0,EXO,"['k-pop', 'k-pop boy group']",9418466.0,70.0,EXO,13666727.0,684.0,8.0,74.0,197279.0,13516.0,6.851210721871055,Dallas,2613539.0,183124.0,7.006744494725352,2,False,29145505.0,1585480.0,5.439878293410939
41,2014-04-16,1,B.A.P.,,Verizon Theatre At Grand Prairie,Grand Prairie,Texas,United States,Dallas-Ft. Worth,US DOLLAR,"AEG Presents, CJ E&M, CJ E&M America, Powerhouse Live","Asian Pop, Pop / Rock","2,349",197195.0,"2,550",92%,45.00,135.00,83.95,4,Grand Prairie_Texas_United States,B.A.P.,UCjNqz4xqatELyN_UaEUjBrQ,BAP!,"IP: mc.bapserveris.lt
Versija: 1.20 - 1.20.2

BAP - nugalėk kitus ir tapk geriausiu!


Tai yra oficialus BAP kanalas, kur rasite kaip daryti įvairius dalykus Minecraft serveryje.

Daugiau informacijos atrasite mūsų svetainėje ir Discorde:
https://bapserveris.lt/
https://www.discord.io/BAPP


Socialiniai tinklai:
TikTok: https://www.tiktok.com/@bapserveris77
Facebook: https://www.facebook.com/BAPSERVER

",2020-06-27T21:10:45.37742Z,344182.0,2950.0,181.0,B.A.P.,[],6.0,17.0,B.A.P,818075.0,59.0,0.0,4.0,197279.0,13516.0,6.851210721871055,Dallas,2613539.0,183124.0,7.006744494725352,2,False,29145505.0,1585480.0,5.439878293410939
48,2023-07-09,1,Twice,,Truist Park,Atlanta,Georgia,United States,Atlanta,US DOLLAR,Live Nation,Asian Pop,"28,568",4297650.0,"28,568",100%,54.50,224.50,150.44,7,Atlanta_Georgia_United States,Twice,UCzgxx_DM2Dcb9Y1spb9mUJA,TWICE,TWICE Official YouTube Channel,2016-03-27T15:48:08Z,6085426852.0,17100000.0,1499.0,Twice,"['k-pop', 'k-pop girl group', 'pop']",19946445.0,81.0,Twice,12293918.0,595.0,15.0,43.0,494838.0,24490.0,4.949094451113294,Fulton,1066710.0,80949.0,7.588660460668785,6,False,10711908.0,479028.0,4.471920408577072
50,2023-03-23,2,Stray Kids,,State Farm Arena,Atlanta,Georgia,United States,Atlanta,US DOLLAR,Live Nation,"Asian Pop, World","11,509",1276752.5,"11,509",100%,49.50,179.50,110.93,3,Atlanta_Georgia_United States,Stray Kids,UC9rMiEjNaCSsebs31MRDCRA,Stray Kids,Stray Kids Official YouTube,2017-05-12T03:28:10Z,4777572477.0,16100000.0,1026.0,Stray Kids,"['k-pop', 'k-pop boy group', 'pop']",15053281.0,82.0,Stray Kids,21175461.0,12.0,0.0,17.0,494838.0,24490.0,4.949094451113294,Fulton,1066710.0,80949.0,7.588660460668785,3,False,10711908.0,479028.0,4.471920408577072
51,2023-02-01,1,P1harmony,,Coca-Cola Roxy,Atlanta,Georgia,United States,Atlanta,US DOLLAR,"(In-House Promotion), Live Nation",Asian Pop,"2,461",197957.5,"3,898",63%,65.50,176.50,80.44,2,Atlanta_Georgia_United States,P1harmony,UCe-XzQhLaq4zS_mPXzuc_2Q,P1Harmony,"P1Harmony Official YouTube Channel
피원하모니 공식 유튜브 계정입니다.",2020-08-25T09:49:33.713788Z,122917524.0,1050000.0,1078.0,P1harmony,"['k-pop', 'k-pop boy group']",1106357.0,64.0,P1Harmony,948637.0,0.0,0.0,0.0,494838.0,24490.0,4.949094451113294,Fulton,1066710.0,80949.0,7.588660460668785,2,False,10711908.0,479028.0,4.471920408577072
53,2022-11-05,1,ITZY,,Fox Theatre,Atlanta,Georgia,United States,Atlanta,US DOLLAR,Live Nation,Asian Pop,"4,426",438558.0,"4,426",100%,45.50,121.00,99.09,11,Atlanta_Georgia_United States,ITZY,UCDhM2k2Cua-JdobAh5moMFg,ITZY,"ITZY ""BORN TO BE""
https://ITZY.lnk.to/BORNTOBE

📌Release
2024.01.08 MON 6PM (KST) | 4AM (EST)

#ITZY #MIDZY 
#ITZYComeback
#ITZY_BORNTOBE
#ITZY_UNTOUCHABLE
",2019-01-14T08:52:03Z,2784964533.0,9110000.0,1528.0,ITZY,"['k-pop', 'k-pop girl group']",7092547.0,73.0,ITZY,5446850.0,179.0,0.0,6.0,494838.0,24490.0,4.949094451113294,Fulton,1066710.0,80949.0,7.588660460668785,5,False,10711908.0,479028.0,4.471920408577072
55,2022-08-30,1,SEVENTEEN,,State Farm Arena,Atlanta,Georgia,United States,Atlanta,US DOLLAR,"HYBE, Live Nation",Asian Pop,"9,503",1132774.5,"10,741",88%,59.50,179.50,119.2,8,Atlanta_Georgia_United States,SEVENTEEN,UCfkXDY7vwkcJ8ddFGz8KusA,SEVENTEEN,"#SEVENTEEN Official Youtube
#세븐틴 공식 유튜브
",2012-11-16T08:20:35Z,5396738590.0,11000000.0,1959.0,SEVENTEEN,"['k-pop', 'k-pop boy group']",11191473.0,79.0,Seventeen,33378003.0,290.0,1.0,48.0,494838.0,24490.0,4.949094451113294,Fulton,1066710.0,80949.0,7.588660460668785,1,False,10711908.0,479028.0,4.471920408577072
59,2022-02-24,1,Twice,,State Farm Arena,Atlanta,Georgia,United States,Atlanta,US DOLLAR,Live Nation,Asian Pop,"11,596",1294523.5,"11,596",100%,59.50,199.50,111.64,2,Atlanta_Georgia_United States,Twice,UCzgxx_DM2Dcb9Y1spb9mUJA,TWICE,TWICE Official YouTube Channel,2016-03-27T15:48:08Z,6085426852.0,17100000.0,1499.0,Twice,"['k-pop', 'k-pop girl group', 'pop']",19946445.0,81.0,Twice,12293918.0,595.0,15.0,43.0,494838.0,24490.0,4.949094451113294,Fulton,1066710.0,80949.0,7.588660460668785,3,False,10711908.0,479028.0,4.471920408577072
61,2020-01-31,1,Stray Kids,,Fox Theatre,Atlanta,Georgia,United States,Atlanta,US DOLLAR,Subkulture Entertainment,"Asian Pop, World","3,077",419403.0,"4,519",68%,69.00,199.00,136.3,1,Atlanta_Georgia_United States,Stray Kids,UC9rMiEjNaCSsebs31MRDCRA,Stray Kids,Stray Kids Official YouTube,2017-05-12T03:28:10Z,4777572477.0,16100000.0,1026.0,Stray Kids,"['k-pop', 'k-pop boy group', 'pop']",15053281.0,82.0,Stray Kids,21175461.0,12.0,0.0,17.0,494838.0,24490.0,4.949094451113294,Fulton,1066710.0,80949.0,7.588660460668785,4,False,10711908.0,479028.0,4.471920408577072
62,2019-07-30,1,Monsta X,,Fox Theatre,Atlanta,Georgia,United States,Atlanta,US DOLLAR,(In-House Promotion),"Asian Pop, World","4,221",499839.0,"4,368",97%,59.00,249.00,118.42,7,Atlanta_Georgia_United States,Monsta X,UCZvCP6sWj75MwpUP4LVtpNw,MONSTA X,,2017-11-14T09:07:19Z,610146290.0,2570000.0,791.0,Monsta X,"['k-pop', 'k-pop boy group']",5163312.0,61.0,MONSTA X,3905428.0,4.0,0.0,22.0,494838.0,24490.0,4.949094451113294,Fulton,1066710.0,80949.0,7.588660460668785,1,False,10711908.0,479028.0,4.471920408577072
63,2019-05-05,1,BLACKPINK,,Infinite Energy Center,Duluth,Georgia,United States,Atlanta,US DOLLAR,"(In-House Promotion), AEG Presents, Goldenvoice",Asian Pop,"9,180",1518063.25,"9,339",98%,82.50,282.50,165.37,5,Duluth_Georgia_United States,BLACKPINK,UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,"BLACKPINK Official YouTube Channel
블랙핑크 공식 유튜브 채널입니다.

JISOO, JENNIE, ROSÉ, LISA
지수, 제니, 로제, 리사",2016-06-29T03:15:23Z,35298765519.0,93500000.0,596.0,BLACKPINK,"['k-pop', 'k-pop girl group', 'pop']",48492443.0,81.0,Blackpink,6073383.0,577.0,8.0,26.0,31742.0,7321.0,23.06407913805053,Gwinnett,957062.0,127152.0,13.28565965423348,6,False,10711908.0,479028.0,4.471920408577072
64,2018-11-14,1,Day6,,Cobb Energy Performing Arts Centre,Atlanta,Georgia,United States,Atlanta,US DOLLAR,Subkulture Entertainment,"Asian Pop, World","2,546",311820.0,"2,648",96%,65.00,185.00,122.47,11,Atlanta_Georgia_United States,Day6,UCp-pqXsizklX3ZHvLxXyhxw,DAY6,DAY6 Official YouTube,2016-03-23T02:09:52Z,783365000.0,1970000.0,616.0,Day6,"['k-pop', 'k-pop boy group']",3203202.0,67.0,Day6,574924.0,51.0,0.0,1.0,494838.0,24490.0,4.949094451113294,Fulton,1066710.0,80949.0,7.588660460668785,2,False,10711908.0,479028.0,4.471920408577072
65,2018-07-25,1,Monsta X,,Cobb Energy Performing Arts Centre,Atlanta,Georgia,United States,Atlanta,US DOLLAR,"AEG Presents, Goldenvoice","Asian Pop, World","2,527",322275.0,"2,537",100%,85.00,195.00,127.53,7,Atlanta_Georgia_United States,Monsta X,UCZvCP6sWj75MwpUP4LVtpNw,MONSTA X,,2017-11-14T09:07:19Z,610146290.0,2570000.0,791.0,Monsta X,"['k-pop', 'k-pop boy group']",5163312.0,61.0,MONSTA X,3905428.0,4.0,0.0,22.0,494838.0,24490.0,4.949094451113294,Fulton,1066710.0,80949.0,7.588660460668785,2,False,10711908.0,479028.0,4.471920408577072
68,2017-09-06,1,Taeyang,,Cobb Energy Performing Arts Centre,Atlanta,Georgia,United States,Atlanta,US DOLLAR,Kpopme Entertainment,"Asian Pop, World","1,557",292883.37,"2,284",68%,104.94,338.14,188.11,9,Atlanta_Georgia_United States,Taeyang,UCDJnRpq0DnQhrwi1ruuQa7g,TAEYANG,"TAEYANG Official YouTube Channel
태양 공식 유튜브 채널입니다.",2009-08-21T01:19:45Z,329333380.0,1830000.0,70.0,Taeyang,"['k-pop', 'korean r&b']",1359080.0,63.0,TAEYANG,351478.0,155.0,1.0,11.0,494838.0,24490.0,4.949094451113294,Fulton,1066710.0,80949.0,7.588660460668785,2,False,10711908.0,479028.0,4.471920408577072
69,2017-07-16,1,Monsta X,,Cobb Energy Performing Arts Centre,Atlanta,Georgia,United States,Atlanta,US DOLLAR,"AEG Presents, Powerhouse Live","Asian Pop, World","2,591",266980.0,"2,669",97%,50.00,195.00,103.04,7,Atlanta_Georgia_United States,Monsta X,UCZvCP6sWj75MwpUP4LVtpNw,MONSTA X,,2017-11-14T09:07:19Z,610146290.0,2570000.0,791.0,Monsta X,"['k-pop', 'k-pop boy group']",5163312.0,61.0,MONSTA X,3905428.0,4.0,0.0,22.0,494838.0,24490.0,4.949094451113294,Fulton,1066710.0,80949.0,7.588660460668785,6,False,10711908.0,479028.0,4.471920408577072
70,2017-04-14,1,Red Hot Chili Peppers,"BABYMETAL, Jack Irons",Philips Arena,Atlanta,Georgia,United States,Atlanta,US DOLLAR,"AEG Presents, FPC Live (Frank Productions Concerts)",Pop / Rock,"13,104",1225612.0,"13,104",100%,53.00,103.00,93.53,4,Atlanta_Georgia_United States,Red Hot Chili Peppers,UCEuOwB9vSL1oPKGNdONB4ig,Red Hot Chili Peppers,The official YouTube channel of the Red Hot Chili Peppers.,2007-02-06T02:06:34Z,7769503762.0,7760000.0,184.0,Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",20520337.0,82.0,,,,,,494838.0,24490.0,4.949094451113294,Fulton,1066710.0,80949.0,7.588660460668785,4,False,10711908.0,479028.0,4.471920408577072
71,2017-04-05,1,B.A.P.,,Cobb Energy Performing Arts Centre,Atlanta,Georgia,United States,Atlanta,US DOLLAR,"AEG Presents, Goldenvoice","Asian Pop, Pop / Rock","1,215",150300.0,"2,551",48%,50.00,175.00,123.7,4,Atlanta_Georgia_United States,B.A.P.,UCjNqz4xqatELyN_UaEUjBrQ,BAP!,"IP: mc.bapserveris.lt
Versija: 1.20 - 1.20.2

BAP - nugalėk kitus ir tapk geriausiu!


Tai yra oficialus BAP kanalas, kur rasite kaip daryti įvairius dalykus Minecraft serveryje.

Daugiau informacijos atrasite mūsų svetainėje ir Discorde:
https://bapserveris.lt/
https://www.discord.io/BAPP


Socialiniai tinklai:
TikTok: https://www.tiktok.com/@bapserveris77
Facebook: https://www.facebook.com/BAPSERVER

",2020-06-27T21:10:45.37742Z,344182.0,2950.0,181.0,B.A.P.,[],6.0,17.0,B.A.P,818075.0,59.0,0.0,4.0,494838.0,24490.0,4.949094451113294,Fulton,1066710.0,80949.0,7.588660460668785,2,False,10711908.0,479028.0,4.471920408577072
